Bo.,SNo.,Title,NAME,Rtg,Pts,Res,Pts,Title,NAME,Rtg,SNo.
42,41,GM,"Grischuk, Alexander",2657,2,1 - 0,2,GM,"Xu, Xiangyu",2615,84
43,47,GM,"Indjic, Aleksandar",2650,2,0 - 1,2,GM,"Najer, Evgeniy",2613,85
44,90,GM,"Predke, Alexandr",2609,2,1 - 0,2,GM,"Kollars, Dmitrij",2647,50
45,98,GM,"Moussard, Jules",2591,2,½ - ½,2,GM,"Svane, Frederik",2643,56
46,60,GM,"Chigaev, Maksim",2638,2,1 - 0,2,GM,"Madaminov, Mukhiddin",2560,107
47,66,GM,"Martirosyan, Haik M.",2628,2,0 - 1,2,GM,"Nigmatov, Ortik",2488,113
48,110,GM,"Goryachkina, Aleksandra",2528,2,0 - 1,2,GM,"Sjugirov, Sanan",2627,69
49,102,GM,"Jobava, Baadur",2590,2,½ - ½,2,GM,"Anton Guijarro, David",2625,71
50,62,GM,"Amin, Bassem",2636,1.5,1 - 0,2,IM,"Suyarov, Mukhammadzokhid",2482,114
51,26,GM,"Sarana, Alexey",2686,1.5,½ - ½,1.5,GM,"Svane, Rasmus",2620,78
52,64,GM,"Ivic, Velimir",2630,1.5,1 - 0,1.5,GM,"Daneshvar, Bardiya",2598,95
53,73,GM,"Dardha, Daniel",2624,1.5,½ - ½,1.5,GM,"Warmerdam, Max",2591,100
54,74,GM,"Donchenko, Alexander",2624,1.5,1 - 0,1.5,GM,"Vakhidov, Jakhongir",2521,111
55,35,GM,"Karthikeyan, Murali",2669,1,½ - ½,1.5,GM,"Abdisalimov, Abdimalik",2488,112
56,103,GM,"Muradli, Mahammad",2590,1,½ - ½,1,GM,"Hammer, Jon Ludvig",2618,80
57,70,GM,"Sargissian, Gabriel",2626,2,½ - ½,2,GM,"Divya, Deshmukh *)",2478,115
58,92,GM,"Wagner, Dennis",2608,1,1 - 0,0.5,,"Olisa, Tennyson Ewomazino",2287,116
