Bo.,SNo.,Title,NAME,Rtg,Pts,Res,Pts,Title,NAME,Rtg,SNo.
1,59,GM,"Xiong, Jeffery",2640,0,½ - ½,0,GM,"Praggnanandhaa, R",2785,1
2,2,GM,"Erigaisi, Arjun",2771,0,½ - ½,0,GM,"Chigaev, Maksim",2638,60
3,61,GM,"Bacrot, Etienne",2637,0,0 - 1,0,GM,"Gukesh, D",2767,3
4,4,GM,"Firouzja, Alireza",2754,0,1 - 0,0,GM,"Amin, Bassem",2636,62
5,63,GM,"Gurel, Ediz",2631,0,½ - ½,0,GM,"Keymer, Vincent",2751,5
6,6,GM,"Abdusattorov, Nodirbek",2748,0,1 - 0,0,GM,"Ivic, Velimir",2630,64
7,65,GM,"Hovhannisyan, Robert",2629,0,0 - 1,0,GM,"Giri, Anish",2746,7
8,8,GM,"Aronian, Levon",2744,0,½ - ½,0,GM,"Martirosyan, Haik M.",2628,66
9,67,GM,"Volokitin, Andrei",2628,0,½ - ½,0,GM,"Nepomniachtchi, Ian",2742,9
10,10,GM,"Mamedyarov, Shakhriyar",2741,0,½ - ½,0,GM,"Cheparinov, Ivan",2627,68
11,69,GM,"Sjugirov, Sanan",2627,0,½ - ½,0,GM,"Vachier-Lagrave, Maxime",2738,11
12,12,GM,"Niemann, Hans Moke",2733,0,½ - ½,0,GM,"Sargissian, Gabriel",2626,70
13,71,GM,"Anton Guijarro, David",2625,0,1 - 0,0,GM,"Fedoseev, Vladimir",2731,13
14,14,GM,"Sindarov, Javokhir",2722,0,½ - ½,0,GM,"Hakobyan, Aram",2625,72
15,73,GM,"Dardha, Daniel",2624,0,½ - ½,0,GM,"Yu, Yangyi",2714,15
16,16,GM,"Vidit, Santosh Gujrathi",2712,0,1 - 0,0,GM,"Donchenko, Alexander",2624,74
17,75,GM,"Ponomariov, Ruslan",2622,0,½ - ½,0,GM,"Rapport, Richard",2711,17
18,18,GM,"Harikrishna, Pentala",2704,0,0 - 1,0,GM,"Demchenko, Anton",2620,76
19,77,GM,"Santos Latasa, Jaime",2620,0,½ - ½,0,GM,"Liang, Awonder",2698,19
